Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2023,Monterey,CA,Passenger,0.00,4.00,4.00,134.00,138.00,2.90
November 30 2018,Dale,AL,Passenger,0.00,1.00,1.00,53.00,54.00,1.85
January 31 2017,Whatcom,WA,Truck,2.00,0.00,2.00,41338.00,41340.00,0.00
June 30 2017,Yakima,WA,Passenger,45.00,57.00,102.00,159389.00,159491.00,0.06
January 31 2020,Skamania,WA,Passenger,29.00,18.00,47.00,8764.00,8811.00,0.53
December 31 2020,Lane,OR,Passenger,0.00,1.00,1.00,148.00,149.00,0.67
June 30 2019,Columbia,WA,Passenger,2.00,2.00,4.00,2451.00,2455.00,0.16
January 31 2021,Gwinnett,GA,Passenger,1.00,0.00,1.00,68.00,69.00,1.45
March 31 2020,Pend Oreille,WA,Passenger,8.00,7.00,15.00,9369.00,9384.00,0.16
April 30 2020,San Mateo,CA,Passenger,0.00,1.00,1.00,126.00,127.00,0.79
November 30 2023,Arapahoe,CO,Passenger,1.00,1.00,2.00,67.00,69.00,2.90
September 30 2018,Klickitat,WA,Truck,0.00,0.00,0.00,8133.00,8133.00,0.00
May 31 2018,Jefferson,CO,Passenger,0.00,1.00,1.00,68.00,69.00,1.45
November 30 2022,Pennington,SD,Passenger,2.00,0.00,2.00,27.00,29.00,6.90
May 31 2019,Owyhee,ID,Passenger,1.00,0.00,1.00,5.00,6.00,16.67
June 30 2020,Sumter,FL,Passenger,0.00,1.00,1.00,9.00,10.00,10.00
February 28 2021,Maui,HI,Passenger,2.00,0.00,2.00,30.00,32.00,6.25
July 31 2019,Nantucket,MA,Passenger,1.00,0.00,1.00,2.00,3.00,33.33
April 30 2019,DuPage,IL,Passenger,1.00,0.00,1.00,63.00,64.00,1.56
December 31 2023,Portsmouth,VA,Passenger,0.00,1.00,1.00,63.00,64.00,1.56
November 30 2022,Henrico,VA,Passenger,0.00,1.00,1.00,10.00,11.00,9.09
March 31 2019,Mercer,NJ,Passenger,0.00,1.00,1.00,20.00,21.00,4.76
October 31 2023,Franklin,WA,Truck,7.00,0.00,7.00,20812.00,20819.00,0.03
September 30 2021,Cumberland,NC,Passenger,0.00,4.00,4.00,428.00,432.00,0.93
June 30 2022,Ventura,CA,Passenger,1.00,2.00,3.00,240.00,243.00,1.23
October 31 2023,Lincoln,WA,Truck,0.00,0.00,0.00,4786.00,4786.00,0.00
November 30 2023,DuPage,IL,Passenger,2.00,1.00,3.00,30.00,33.00,9.09
May 31 2018,Lee,AL,Passenger,1.00,0.00,1.00,33.00,34.00,2.94
March 31 2018,Latah,ID,Passenger,0.00,1.00,1.00,81.00,82.00,1.22
November 30 2023,Texas,MO,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
September 30 2019,Spokane,WA,Passenger,595.00,445.00,1040.00,313492.00,314532.00,0.33
March 31 2020,DeKalb,GA,Passenger,1.00,0.00,1.00,85.00,86.00,1.16
January 31 2019,Cumberland,NC,Passenger,0.00,2.00,2.00,536.00,538.00,0.37
October 31 2023,Collin,TX,Passenger,3.00,0.00,3.00,34.00,37.00,8.11
October 31 2023,Beaufort,SC,Passenger,1.00,0.00,1.00,27.00,28.00,3.57
March 31 2020,New Haven,CT,Passenger,0.00,2.00,2.00,41.00,43.00,4.65
November 30 2018,Dakota,MN,Passenger,0.00,2.00,2.00,34.00,36.00,5.56
April 30 2022,San Joaquin,CA,Passenger,1.00,1.00,2.00,98.00,100.00,2.00
March 31 2022,Garfield,WA,Passenger,0.00,3.00,3.00,1330.00,1333.00,0.23
August 31 2018,Orange,FL,Passenger,2.00,1.00,3.00,169.00,172.00,1.74
April 30 2023,Monterey,CA,Passenger,0.00,4.00,4.00,129.00,133.00,3.01
August 31 2023,Ray,MO,Passenger,0.00,1.00,1.00,0.00,1.00,100.00
October 31 2021,Richmond,NY,Passenger,1.00,0.00,1.00,4.00,5.00,20.00
January 31 2019,Montgomery,MD,Passenger,1.00,0.00,1.00,279.00,280.00,0.36
February 28 2022,Goochland,VA,Passenger,4.00,2.00,6.00,180.00,186.00,3.23
June 30 2021,Sumter,SC,Passenger,0.00,1.00,1.00,37.00,38.00,2.63
March 31 2022,Kauai,HI,Passenger,1.00,0.00,1.00,20.00,21.00,4.76
December 31 2019,Garfield,WA,Truck,0.00,0.00,0.00,967.00,967.00,0.00
April 30 2019,DeKalb,IN,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
January 31 2019,Garfield,OK,Passenger,1.00,0.00,1.00,14.00,15.00,6.67
October 31 2021,Richland,SC,Passenger,0.00,2.00,2.00,136.00,138.00,1.45
April 30 2017,Prince George's,MD,Passenger,0.00,1.00,1.00,183.00,184.00,0.54
February 28 2018,Island,WA,Passenger,165.00,172.00,337.00,61853.00,62190.00,0.54
December 31 2023,Okanogan,WA,Passenger,161.00,75.00,236.00,25716.00,25952.00,0.91
February 28 2021,Skamania,WA,Truck,0.00,0.00,0.00,4028.00,4028.00,0.00
August 31 2023,Kitsap,WA,Truck,84.00,0.00,84.00,52093.00,52177.00,0.16
October 31 2021,Douglas,WA,Passenger,103.00,51.00,154.00,28570.00,28724.00,0.54
October 31 2019,Santa Clara,CA,Passenger,6.00,2.00,8.00,379.00,387.00,2.07
February 28 2022,Asotin,WA,Truck,0.00,0.00,0.00,6737.00,6737.00,0.00
August 31 2022,Lincoln,WA,Truck,0.00,0.00,0.00,4843.00,4843.00,0.00
May 31 2020,Tulsa,OK,Passenger,1.00,1.00,2.00,49.00,51.00,3.92
February 29 2020,Stafford,VA,Passenger,1.00,1.00,2.00,95.00,97.00,2.06
